AQI,CO2,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
1,,347.14,0.03,25.02,27.18,0.72,5.29,7.51,3.14
1,,257.02,0.0,10.8,41.13,0.32,2.38,4.82,4.81
1,,226.97,0.0,6.68,44.7,0.61,1.78,2.38,1.28
3,,387.19,0.0,20.22,42.2,0.98,27.63,31.19,9.63
1,,236.99,0.0,7.97,47.92,0.48,1.14,2.07,3.29
1,,233.65,0.0,13.71,59.37,3.49,2.34,7.54,1.93
1,,267.03,0.0,12.85,42.92,0.46,1.67,2.68,3.71
2,,236.99,0.0,3.38,68.67,0.43,0.92,2.2,1.6
2,,247.0,0.0,5.27,63.66,0.35,0.85,1.67,1.69
1,,267.03,0.01,11.82,35.41,0.3,2.19,3.74,2.63
2,,223.64,0.0,0.65,80.11,0.41,0.57,2.07,0.03
1,,240.33,0.0,10.28,46.49,0.23,1.23,2.87,10.77
2,,193.6,0.0,1.46,63.66,0.19,4.12,6.97,1.88
2,,230.31,0.0,2.42,69.38,0.32,0.62,1.53,1.44
2,,220.3,0.0,0.87,78.68,0.54,0.58,2.01,0.01
2,,240.33,0.0,14.22,60.08,1.09,2.05,7.4,5.07
2,,297.07,0.0,9.94,40.05,0.88,23.27,26.26,1.27
2,,220.3,0.0,0.85,78.68,0.52,0.52,1.72,0.04
2,,220.3,0.0,0.42,95.84,0.34,0.96,4.26,0.0
3,,213.62,0.0,0.41,103.0,1.82,6.79,8.84,0.17
2,,230.31,0.0,2.74,67.95,0.23,0.59,1.35,3.07
2,,223.64,0.0,1.41,77.25,0.31,0.52,1.65,0.97
1,,260.35,0.01,12.17,38.27,0.23,1.78,3.07,3.58
1,,247.0,0.0,10.8,40.77,2.09,4.79,5.72,0.96
1,,230.31,0.0,13.37,52.21,0.5,1.46,6.29,5.19
2,,223.64,0.0,2.51,64.37,0.15,0.52,1.53,4.69
2,,211.95,0.0,6.94,39.7,0.17,10.39,12.84,1.36
1,,236.99,0.0,22.62,57.22,2.47,1.81,7.79,2.44
3,,287.06,0.0,10.88,41.13,1.54,25.41,30.46,1.06
1,,233.65,0.0,16.45,57.94,1.09,1.64,6.27,4.62
2,,223.64,0.0,0.46,87.98,0.26,0.5,1.48,0.03
1,,230.31,0.0,4.16,58.65,0.18,0.54,1.32,2.44
1,,330.45,0.02,21.76,28.25,5.72,4.85,6.37,1.25
2,,195.27,0.0,3.43,60.8,0.68,5.56,8.37,1.35
2,,257.02,0.0,4.16,45.06,0.51,19.02,21.98,0.82
1,,233.65,0.01,19.36,40.77,0.46,1.56,6.05,5.89
2,,226.97,0.0,2.46,66.52,0.25,0.51,1.32,2.6
2,,220.3,0.0,1.52,70.1,0.32,0.53,1.57,1.52
2,,223.64,0.0,1.84,72.24,0.37,0.5,1.27,1.25
1,,260.35,0.01,12.17,38.27,0.23,1.78,3.07,3.58
1,,257.02,0.0,12.17,57.94,0.95,1.58,2.5,6.46
1,,250.34,0.01,8.57,44.7,0.26,1.39,2.63,4.94
2,,220.3,0.0,2.14,71.53,1.13,0.5,0.91,0.07
1,,267.03,0.0,10.45,28.97,0.83,4.04,4.72,0.83
2,,280.38,0.0,8.48,42.2,1.52,20.38,26.54,2.6
2,,230.31,0.0,10.63,61.51,1.49,2.24,7.57,4.31
2,,223.64,0.0,0.65,80.11,0.41,0.57,2.07,0.03
3,,327.11,0.0,1.86,114.44,1.68,25.73,31.62,1.2
1,,240.33,0.01,20.39,50.07,0.56,1.61,6.58,3.55
1,,210.29,0.0,3.6,36.12,0.14,9.86,13.91,1.01
2,,230.31,0.0,1.67,83.69,0.61,0.5,1.2,0.4
2,,223.64,0.0,1.26,74.39,0.4,0.5,1.46,0.54
2,,223.64,0.0,2.1,66.52,0.28,0.5,1.31,2.34
1,,340.46,0.03,19.71,37.91,0.81,3.84,6.65,1.5
2,,220.3,0.0,0.63,81.54,0.27,0.5,1.66,0.57
1,,236.99,0.0,4.88,59.37,0.71,0.74,1.43,1.93
1,,236.99,0.0,7.8,39.7,0.13,1.18,2.75,3.9
1,,236.99,0.0,8.65,43.27,0.16,1.1,2.75,6.21
2,,250.34,0.0,9.0,37.19,2.27,14.57,20.19,2.88
2,,360.49,0.08,20.74,26.11,1.91,19.72,21.54,2.76
1,,287.06,0.0,28.79,37.19,10.85,4.52,9.84,1.19
2,,233.65,0.0,3.26,64.37,0.21,0.56,1.39,2.34
1,,233.65,0.0,9.51,59.37,0.95,1.59,6.05,5.51
1,,223.64,0.0,1.46,49.35,0.1,7.79,11.45,0.61
2,,377.18,2.24,25.02,4.29,1.36,10.51,12.73,1.22
2,,236.99,0.0,1.82,90.84,0.95,12.44,14.94,1.19
1,,253.68,0.0,14.4,44.35,0.47,2.13,4.48,20.77
2,,260.35,0.0,3.51,45.06,0.35,11.88,14.81,0.85
1,,263.69,0.02,17.99,28.25,2.74,5.5,6.74,1.03
1,,273.71,0.01,14.74,32.19,0.35,2.76,4.87,4.18
2,,247.0,0.0,11.14,64.37,1.73,13.65,16.3,2.69
2,,203.61,0.0,6.26,85.12,0.53,3.52,3.96,3.77
2,,226.97,0.0,1.52,84.4,0.51,0.5,1.35,0.6
2,,216.96,0.0,1.74,80.11,1.42,0.66,1.19,0.85
3,,380.52,0.01,16.79,36.48,1.86,35.93,39.91,2.03
2,,230.31,0.0,4.16,62.23,1.0,1.43,2.18,0.84
2,,226.97,0.0,3.34,64.37,0.39,0.5,1.09,2.06
2,,280.38,0.0,11.48,38.27,1.77,17.67,19.24,0.49
2,,173.57,0.0,2.19,61.51,0.19,5.18,7.59,4.81
2,,247.0,0.0,14.4,60.08,4.17,2.73,8.29,3.61
1,,236.99,0.0,8.82,37.91,0.15,1.33,3.12,5.13
1,,340.46,0.03,19.71,37.91,0.81,3.84,6.65,1.5
1,,263.69,0.01,12.17,33.26,0.21,2.26,3.98,2.88
1,,233.65,0.01,19.36,40.77,0.46,1.56,6.05,5.89
2,,247.0,0.0,7.11,61.51,0.54,1.17,1.97,3.67
2,,220.3,0.0,0.4,92.98,0.31,0.93,4.1,0.0
1,,250.34,0.01,31.19,44.35,1.16,1.93,7.89,2.22
1,,277.04,0.05,16.97,25.03,0.35,2.96,5.1,4.43
2,,263.69,0.0,14.57,39.34,1.28,10.42,14.08,2.98
2,,233.65,0.0,10.71,63.66,1.27,2.08,7.4,5.76
2,,236.99,0.0,5.18,60.08,0.43,0.69,1.39,2.82
1,,236.99,0.0,4.11,58.65,0.16,0.66,1.53,2.47
1,,340.46,0.03,19.71,37.91,0.81,3.84,6.65,1.5
2,,223.64,0.0,0.99,75.1,0.26,0.5,1.24,0.83
1,,270.37,0.02,20.74,36.12,0.59,2.63,5.02,20.27
3,,674.25,3.97,78.14,4.16,16.93,37.12,41.47,3.52
1,,283.72,0.06,17.65,27.18,0.55,3.33,5.36,6.21
2,,213.62,0.0,1.56,77.25,1.65,17.3,23.46,0.0
2,,223.64,0.0,2.51,64.37,0.15,0.52,1.53,4.69
3,,387.19,0.0,15.08,50.07,1.76,38.93,43.5,1.81
1,,240.33,0.0,8.82,42.2,0.29,1.46,3.56,8.23
1,,330.45,0.03,21.42,32.9,0.73,4.8,7.06,2.76
2,,223.64,0.0,1.3,75.1,0.21,0.5,1.36,1.93
1,,243.66,0.01,10.54,33.62,0.15,1.51,3.24,4.62
1,,226.97,0.0,10.45,52.93,0.26,1.34,5.67,4.18
2,,250.34,0.0,4.16,42.2,0.53,11.85,12.76,1.44
2,,230.31,0.0,6.43,32.19,0.13,12.16,12.71,0.93
1,,260.35,0.0,10.28,45.78,0.32,1.65,2.48,2.88
2,,240.33,0.0,19.02,62.94,1.67,1.71,7.67,1.98
2,,236.99,0.0,5.18,60.08,0.43,0.69,1.39,2.82
1,,233.65,0.0,14.22,48.64,0.54,1.47,6.1,5.51
1,,198.6,0.0,2.53,59.37,0.13,4.84,6.72,1.0
1,,233.65,0.0,5.01,53.64,0.18,0.67,1.51,2.15
2,,300.41,0.0,7.97,88.69,2.21,13.43,16.68,1.25
2,,236.99,0.0,6.08,71.53,0.66,1.11,2.51,9.37
2,,226.97,0.0,6.34,62.94,0.92,1.3,5.4,4.69
1,,253.68,0.0,7.71,49.35,1.24,5.64,6.31,1.11
2,,220.3,0.0,1.01,75.1,0.36,0.55,1.82,0.83
1,,230.31,0.0,14.91,58.65,1.18,1.84,7.44,2.82
1,,233.65,0.0,14.91,52.21,0.5,1.49,6.36,4.5
